ספר בראשית/א	יא	__	{{מ:פסוק|בראשית|א|יא}}	"וַיֹּ֣אמֶר אֱלֹהִ֗ים {{נוסח|תַּֽדְשֵׁ֤א|2==א(ס),ל <א(ס)=מתג? כן>}} הָאָ֙רֶץ֙ {{נוסח|דֶּ֗שֶׁא|2==א(ס),ל?,ל-מ(צילום),ק3,ו,פטרבורג-EVR-II-B-8(1ב) ומ""ש (בנקודה אחת לטעם רביע); <א(ס)=רביע? כן>, וכמו כן בכתבי־יד ספרדים כגון היללי, פריז 25 ותנ""ך ליסבון ובחלק מהתיגאן, וכך הכריעו דותן וברויאר ומג""ה. הדף מטושטש בכתי""ל וקשה להבחין בטעם; ייתכן שנקודה שנייה עליונה נמחקה.{{ש}}פטרבורג-EVR-II-B-93? (הנקודה העליונה כתם?) ומ""ג דפוס ונציה=דֶּ֔שֶׁא (בשתי נקודות לטעם זקף גדול), וכמו כן ברוב המובהק של התיגאן (חוץ אולי מ{{מ:קישור בהערה|https://www.nli.org.il/he/manuscripts/NNL_ALEPH990001395350205171/NLI#$FL34539128|כת""י קיימברידג' Add. 1728}}).{{ש}}קורן, ברויאר, דותן, מג""ה, סימנים, מכון ממרא}} עֵ֚שֶׂב מַזְרִ֣יעַ זֶ֔רַע עֵ֣ץ פְּרִ֞י עֹ֤שֶׂה פְּרִי֙ לְמִינ֔וֹ אֲשֶׁ֥ר זַרְעוֹ־ב֖וֹ עַל־הָאָ֑רֶץ וַֽיְהִי־כֵֽן׃"
ספר בראשית/א	יב	__	{{מ:פסוק|בראשית|א|יב}}	וַתּוֹצֵ֨א הָאָ֜רֶץ דֶּ֠שֶׁא עֵ֣שֶׂב מַזְרִ֤יעַ זֶ֙רַע֙ לְמִינֵ֔הוּ וְעֵ֧ץ עֹֽשֶׂה־פְּרִ֛י אֲשֶׁ֥ר זַרְעוֹ־ב֖וֹ לְמִינֵ֑הוּ וַיַּ֥רְא אֱלֹהִ֖ים כִּי־טֽוֹב׃
ספר בראשית/א	יג	__	{{מ:פסוק|בראשית|א|יג}}	וַֽיְהִי־עֶ֥רֶב וַֽיְהִי־בֹ֖קֶר י֥וֹם שְׁלִישִֽׁי׃
ספר בראשית/א	יד	//{{פפ}}//	"{{מ:פסוק|בראשית|א|יד|עלייה={{מ:עלייה|א=[ע""כ ישראל]|ב0=בראשית|ב2=ע""כ ישראל}}}}"	וַיֹּ֣אמֶר אֱלֹהִ֗ים יְהִ֤י מְאֹרֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם לְהַבְדִּ֕יל בֵּ֥ין הַיּ֖וֹם וּבֵ֣ין הַלָּ֑יְלָה וְהָי֤וּ לְאֹתֹת֙ וּלְמ֣וֹעֲדִ֔ים וּלְיָמִ֖ים וְשָׁנִֽים׃
ספר בראשית/א	טו	__	{{מ:פסוק|בראשית|א|טו}}	וְהָי֤וּ לִמְאוֹרֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם לְהָאִ֖יר עַל־הָאָ֑רֶץ {{נוסח|וַֽיְהִי־כֵֽן|2=ל=וַֽיְהִי־כֵֽן בגעיה ימנית}}׃
ספר בראשית/א	טז	__	{{מ:פסוק|בראשית|א|טז}}	וַיַּ֣עַשׂ אֱלֹהִ֔ים אֶת־שְׁנֵ֥י הַמְּאֹרֹ֖ת הַגְּדֹלִ֑ים אֶת־הַמָּא֤וֹר הַגָּדֹל֙ לְמֶמְשֶׁ֣לֶת הַיּ֔וֹם וְאֶת־הַמָּא֤וֹר הַקָּטֹן֙ לְמֶמְשֶׁ֣לֶת הַלַּ֔יְלָה וְאֵ֖ת הַכּוֹכָבִֽים׃
ספר בראשית/א	יז	__	{{מ:פסוק|בראשית|א|יז}}	וַיִּתֵּ֥ן אֹתָ֛ם אֱלֹהִ֖ים בִּרְקִ֣יעַ הַשָּׁמָ֑יִם לְהָאִ֖יר עַל־הָאָֽרֶץ׃
ספר בראשית/א	יח	__	{{מ:פסוק|בראשית|א|יח}}	"וְלִמְשֹׁל֙ בַּיּ֣וֹם וּבַלַּ֔יְלָה {{נוסח|וּֽלְﬞהַבְדִּ֔יל|2==ק3,ו וכמו כן בתיגאן ובדפוסים.{{ש}}א(ס),ל=וּֽלֲהַבְדִּ֔יל (חטף) <א(ס)=מתג ושוא לבד? אינו כן אלא הלמ""ד בחטף פתח>, וכמו כן בכתבי־יד ספרדים כגון היללי, פריז 25 ותנ""ך ליסבון.}} בֵּ֥ין הָא֖וֹר וּבֵ֣ין הַחֹ֑שֶׁךְ וַיַּ֥רְא אֱלֹהִ֖ים כִּי־טֽוֹב׃"
ספר בראשית/א	יט	__	{{מ:פסוק|בראשית|א|יט}}	וַֽיְהִי־עֶ֥רֶב וַֽיְהִי־בֹ֖קֶר י֥וֹם רְבִיעִֽי׃
ספר בראשית/א	כ	//{{פפ}}//	{{מ:פסוק|בראשית|א|כ}}	וַיֹּ֣אמֶר אֱלֹהִ֔ים יִשְׁרְצ֣וּ הַמַּ֔יִם שֶׁ֖רֶץ נֶ֣פֶשׁ חַיָּ֑ה וְעוֹף֙ יְעוֹפֵ֣ף עַל־הָאָ֔רֶץ עַל־פְּנֵ֖י רְקִ֥יעַ הַשָּׁמָֽיִם׃
ספר בראשית/א	כא	__	{{מ:פסוק|בראשית|א|כא}}	וַיִּבְרָ֣א אֱלֹהִ֔ים אֶת־הַתַּנִּינִ֖ם הַגְּדֹלִ֑ים וְאֵ֣ת כׇּל־נֶ֣פֶשׁ הַֽחַיָּ֣ה{{מ:פסק}}הָֽרֹמֶ֡שֶׂת אֲשֶׁר֩ שָׁרְצ֨וּ הַמַּ֜יִם לְמִֽינֵהֶ֗ם וְאֵ֨ת כׇּל־ע֤וֹף כָּנָף֙ לְמִינֵ֔הוּ וַיַּ֥רְא אֱלֹהִ֖ים כִּי־טֽוֹב׃
ספר בראשית/א	כב	__	{{מ:פסוק|בראשית|א|כב}}	וַיְבָ֧רֶךְ אֹתָ֛ם אֱלֹהִ֖ים לֵאמֹ֑ר פְּר֣וּ וּרְב֗וּ וּמִלְא֤וּ אֶת־הַמַּ֙יִם֙ בַּיַּמִּ֔ים וְהָע֖וֹף יִ֥רֶב בָּאָֽרֶץ׃
ספר בראשית/א	כג	__	{{מ:פסוק|בראשית|א|כג}}	וַֽיְהִי־עֶ֥רֶב וַֽיְהִי־בֹ֖קֶר י֥וֹם חֲמִישִֽׁי׃
ספר בראשית/א	כד	//{{פפ}}//	{{מ:פסוק|בראשית|א|כד}}	וַיֹּ֣אמֶר אֱלֹהִ֗ים תּוֹצֵ֨א הָאָ֜רֶץ נֶ֤פֶשׁ חַיָּה֙ לְמִינָ֔הּ בְּהֵמָ֥ה וָרֶ֛מֶשׂ וְחַֽיְתוֹ־אֶ֖רֶץ לְמִינָ֑הּ וַֽיְהִי־כֵֽן׃
ספר בראשית/א	כה	__	{{מ:פסוק|בראשית|א|כה}}	וַיַּ֣עַשׂ אֱלֹהִים֩ אֶת־חַיַּ֨ת הָאָ֜רֶץ לְמִינָ֗הּ וְאֶת־הַבְּהֵמָה֙ לְמִינָ֔הּ וְאֵ֛ת כׇּל־רֶ֥מֶשׂ הָֽאֲדָמָ֖ה לְמִינֵ֑הוּ וַיַּ֥רְא אֱלֹהִ֖ים כִּי־טֽוֹב׃
ספר בראשית/א	כו	__	{{מ:פסוק|בראשית|א|כו}}	וַיֹּ֣אמֶר אֱלֹהִ֔ים נַֽעֲשֶׂ֥ה אָדָ֛ם בְּצַלְמֵ֖נוּ כִּדְמוּתֵ֑נוּ וְיִרְדּוּ֩ בִדְגַ֨ת הַיָּ֜ם וּבְע֣וֹף הַשָּׁמַ֗יִם וּבַבְּהֵמָה֙ וּבְכׇל־הָאָ֔רֶץ וּבְכׇל־הָרֶ֖מֶשׂ הָֽרֹמֵ֥שׂ עַל־הָאָֽרֶץ׃
ספר בראשית/א	כז	__	{{מ:פסוק|בראשית|א|כז}}	וַיִּבְרָ֨א אֱלֹהִ֤ים{{מ:פסק}}{{נוסח|אֶת־הָֽאָדָם֙|2=ל=אֶת־הָֽאָדָם֙ בגעיה ימנית}} בְּצַלְמ֔וֹ בְּצֶ֥לֶם אֱלֹהִ֖ים בָּרָ֣א אֹת֑וֹ זָכָ֥ר וּנְקֵבָ֖ה בָּרָ֥א אֹתָֽם׃
ספר בראשית/א	כח	__	{{מ:פסוק|בראשית|א|כח}}	וַיְבָ֣רֶךְ אֹתָם֮ אֱלֹהִים֒ וַיֹּ֨אמֶר לָהֶ֜ם אֱלֹהִ֗ים פְּר֥וּ וּרְב֛וּ וּמִלְא֥וּ אֶת־הָאָ֖רֶץ וְכִבְשֻׁ֑הָ וּרְד֞וּ בִּדְגַ֤ת הַיָּם֙ וּבְע֣וֹף הַשָּׁמַ֔יִם וּבְכׇל־חַיָּ֖ה הָֽרֹמֶ֥שֶׂת עַל־הָאָֽרֶץ׃
ספר בראשית/א	כט	__	{{מ:פסוק|בראשית|א|כט}}	וַיֹּ֣אמֶר אֱלֹהִ֗ים הִנֵּה֩ נָתַ֨תִּי לָכֶ֜ם אֶת־כׇּל־עֵ֣שֶׂב{{מ:לגרמיה-2}} זֹרֵ֣עַ זֶ֗רַע אֲשֶׁר֙ עַל־פְּנֵ֣י כׇל־הָאָ֔רֶץ וְאֶת־כׇּל־הָעֵ֛ץ אֲשֶׁר־בּ֥וֹ פְרִי־עֵ֖ץ זֹרֵ֣עַ זָ֑רַע לָכֶ֥ם יִֽהְיֶ֖ה לְאׇכְלָֽה׃
ספר בראשית/א	ל	__	{{מ:פסוק|בראשית|א|ל}}	וּֽלְכׇל־חַיַּ֣ת הָ֠אָ֠רֶץ וּלְכׇל־ע֨וֹף הַשָּׁמַ֜יִם וּלְכֹ֣ל{{מ:לגרמיה-2}} רוֹמֵ֣שׂ עַל־הָאָ֗רֶץ אֲשֶׁר־בּוֹ֙ נֶ֣פֶשׁ חַיָּ֔ה אֶת־כׇּל־יֶ֥רֶק עֵ֖שֶׂב לְאׇכְלָ֑ה וַֽיְהִי־כֵֽן׃
ספר בראשית/א	לא	__	{{מ:פסוק|בראשית|א|לא}}	וַיַּ֤רְא אֱלֹהִים֙ אֶת־כׇּל־אֲשֶׁ֣ר עָשָׂ֔ה וְהִנֵּה־ט֖וֹב מְאֹ֑ד וַֽיְהִי־עֶ֥רֶב וַֽיְהִי־בֹ֖קֶר י֥וֹם הַשִּׁשִּֽׁי׃
ספר בראשית/א	תתת	<noinclude>//{{מ:טעמי המקרא-סוף}}//{{מ:שוליים-סוף}}//==הפרק ללא אותיות הפסוקים==//{{מ:טעמי המקרא}}//{{#בלי קטע:{{שם הדף המלא}}|סימן}}//{{מ:טעמי המקרא-סוף}}</noinclude>		
ספר בראשית/ב	0	<noinclude>{{ניווט טעמים|בראשית|ב}}//{{טעמי המקרא באינטרנט}}//{{מ:שוליים|5}}//{{מ:טעמי המקרא}}//</noinclude>		
ספר בראשית/ב	א	{{פפ}}//	{{מ:פסוק|בראשית|ב|א}}	וַיְכֻלּ֛וּ הַשָּׁמַ֥יִם וְהָאָ֖רֶץ וְכׇל־צְבָאָֽם׃
ספר בראשית/ב	ב	__	{{מ:פסוק|בראשית|ב|ב}}	וַיְכַ֤ל אֱלֹהִים֙ בַּיּ֣וֹם הַשְּׁבִיעִ֔י מְלַאכְתּ֖וֹ אֲשֶׁ֣ר עָשָׂ֑ה וַיִּשְׁבֹּת֙ בַּיּ֣וֹם הַשְּׁבִיעִ֔י מִכׇּל־מְלַאכְתּ֖וֹ אֲשֶׁ֥ר עָשָֽׂה׃
ספר בראשית/ב	ג	__	{{מ:פסוק|בראשית|ב|ג}}	וַיְבָ֤רֶךְ אֱלֹהִים֙ אֶת־י֣וֹם הַשְּׁבִיעִ֔י וַיְקַדֵּ֖שׁ אֹת֑וֹ כִּ֣י ב֤וֹ שָׁבַת֙ מִכׇּל־מְלַאכְתּ֔וֹ אֲשֶׁר־בָּרָ֥א אֱלֹהִ֖ים לַעֲשֽׂוֹת׃
ספר בראשית/ב	ד	//{{פפ}}//	{{מ:פסוק|בראשית|ב|ד|סדר=ב|עלייה={{מ:עלייה|א=שני|ב0=בראשית|ב1=שני}}}}	"אֵ֣לֶּה תוֹלְד֧וֹת הַשָּׁמַ֛יִם וְהָאָ֖רֶץ {{נוסח|בְּ{{מ:אות-ק|הִ}}בָּֽרְאָ֑ם|2==מ""ס-ל ומ""ש{{ש}}ל=בְּהִבָּֽרְאָ֑ם (באות רגילה)}} בְּי֗וֹם עֲשׂ֛וֹת יְהֹוָ֥ה אֱלֹהִ֖ים אֶ֥רֶץ וְשָׁמָֽיִם׃"
ספר בראשית/ב	ה	__	{{מ:פסוק|בראשית|ב|ה}}	וְכֹ֣ל{{מ:לגרמיה-2}} שִׂ֣יחַ הַשָּׂדֶ֗ה טֶ֚רֶם יִֽהְיֶ֣ה בָאָ֔רֶץ וְכׇל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח כִּי֩ לֹ֨א הִמְטִ֜יר יְהֹוָ֤ה אֱלֹהִים֙ עַל־הָאָ֔רֶץ וְאָדָ֣ם אַ֔יִן לַֽעֲבֹ֖ד אֶת־הָֽאֲדָמָֽה׃
