dd/mm/y	who	where	what	what-x (Hebrew)	what-y (Hebrew)
2026-02-26 00:00:00	S(A)K	משלי לא,לא	"Deleted meteg in ""מַעֲשֶֽׂיהָ"" (following AC). Credit to Ben Denckla. To be imported via auto-edits."		
2026-02-26 00:00:00	S(A)K	משלי כג,לא	"Deleted meteg in ""בְּמֵישָׁרִֽים"" (following AC). Credit to Ben Denckla. To be imported via auto-edits."		
2026-02-23 00:00:00	S(A)K	תהלים פט,יא	"Added rafe to the letter א in ""דִכִּ֣אֿתָ"" (as in AC, LC). Credit to Ben Denckla. To be imported via auto-edits."		
2026-02-23 00:00:00	S(A)K	איוב יט,ב	"Added rafe to the letter א in ""וּֽתְדַכּאֿוּנַ֥נִי"" (as in AC, LC) and added a new documentation note. Credit to Ben Denckla. To be imported via auto-edits."		
2026-02-14 00:00:00	S(A)K	נביאים	"Changed ""seder"" division in the following places: 1 Samuel 3:20 (from 3:19); 2 Samuel 2:7 (from 2:6); Isaiah 65:9 (was previously missing). Credit to anonymous Wikisource contributer."		
2026-02-12 00:00:00	S(A)K	"שמ""א יב,י"	"Removed meteg from ""וַיֹּאמְר֣וּ"" (qeri), as found in AC. Credit to Ben Denckla. To be imported via auto-edits."		
2026-01-13 00:00:00	S(A)K	איוב ה,יב	"Removed meteg from ""תֻּשִׁיָּֽה"", as found in AC. Credit to Ben Denckla. To be imported via auto-edits."		
2026-01-13 00:00:00	S(A)K	ישעיהו י,יז	"Added merkha in ""וְאָ֥כְלָ֛ה"", as found in AC. Credit to Moshe Greenberg. To be imported via auto-edits."		
2025-12-24 00:00:00	S(A)K	יהושע א,ז	"Changed ""כְּכׇל־הַתּוֹרָ֔ה"" (accent zaqeph qaton) to ""כְּכׇל־הַתּוֹרָ֗ה"" (accent revia`); added to documentation note. To be imported via auto-edits."		
2025-12-01 00:00:00	BD	various	Applied 34 auto-edits.		
2025-12-01 00:00:00	S(A)K	תהלים לט,ב	"Added grey mapaph connecting ""אֶשְׁמְרָ֥ה לְפִ֥י"". Credit to Ben Denckla. To be imported via auto-edits."		
2025-12-01 00:00:00	S(A)K	תהלים ב,ז	"Added grey mapaph connecting ""בְּנִ֥י אַ֑תָּה"". Credit to Ben Denckla. To be imported via auto-edits."		
2025-11-25 00:00:00	S(A)K	"שמ""ב טו,יב"	"Added legarmeih between ""יוֹעֵ֣ץ ׀ דָּוִ֗ד"" as in AC, LC. Credit to Moshe Greenberg. To be imported via auto-edits."		
2025-11-25 00:00:00	S(A)K	תהלים ה,ה	"Added the first grey mapaph connecting ""לֹ֤א־אֵֽל־חָפֵ֘ץ־רֶ֥שַׁע"". Credit to Ben Denckla. To be imported via auto-edits."		
2025-11-25 00:00:00	S(A)K	תהלים לא,כ	"Added the first grey mapaph connecting ""מָ֤ה־רַֽב־טוּבְךָ֮"". Credit to Ben Denckla. To be imported via auto-edits."		
2025-11-18 00:00:00	BD	various	Applied 42 auto-edits.		
2025-11-11 00:00:00	S(A)K	איוב מ,י	"Added grey mapaph connecting ""עֲדֵ֥ה נָ֣א"". Credit to Ben Denckla. To be imported via auto-edits."		
